Audit Board,Batch Name,Ballot Number,Storage Location,Tabulator,Ticket Numbers,Already Audited,Bennet,Biden,Bloomberg,Booker,Buttigieg,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Write-In,O/U,,Dodge,Rountree,O/U,,Scearce,Setzer,O/U,,Nonpartisan,Total Ballots,,Bennet,Biden,Bloomberg,Booker,Buttigieg,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Write-In,O/U,,Dodge,Rountree,O/U,,Scearce,Setzer,O/U,,Nonpartisan,,,
Audit Board #2,B0103,78,,,0.002063507,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0103,119,,,0.001148355,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0106,85,,,0.000413616,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0106,156,,,0.001663613,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0109,34,,,0.001546841,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0109,182,,,0.002557631,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0111,59,,,0.001750924,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0112,91,,,0.001074483,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0115,128,,,0.000643318,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0128,29,,,0.000465108,N,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0137,130,,,0.002461414,N,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0137,192,,,0.002956625,N,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0141,163,,,0.002309581,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0143,38,,,0.002743123,N,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,188,,,0.000805583,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,231,,,0.001911458,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,384,,,0.002356703,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,448,,,0.002382308,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,506,,,0.000931588,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,663,,,0.000890268,N,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0015,197,,,0.001766166,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,0,15,0,0,0,0,0,0,4,0,0,0,0,0,10,6,3,0,7,3,0,0,1,,,
Audit Board #3,A0028,178,,,0.000310102,N,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0041,101,,,0.001578704,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0044,52,,,0.001803071,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0044,177,,,0.002595042,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0087,95,,,0.001078515,N,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0098,175,,,0.001840214,N,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0100,181,,,0.000611430,N,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0111,195,,,0.002375348,N,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0123,102,,,0.000039811,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0124,89,,,0.000828686,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0148,102,,,0.000557001,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0148,117,,,0.001564193,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0149,19,,,0.000566287,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0149,67,,,0.001417637,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0152,56,,,0.000575386,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0152,190,,,0.000902895,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,A0152,196,,,0.001186290,N,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,AAI-02,128,,,0.002400088,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0016,67,,,0.001041620,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0019,85,,,0.000057655,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0031,14,,,0.001919394,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0035,48,,,0.003048522,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0035,64,,,0.000031893,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0042,6,,,0.000659609,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0042,56,,,0.001486275,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0042,156,,,0.001189077,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0044,158,,,0.001742457,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0044,183,,,0.001843547,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0046,126,,,0.000698311,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0048,40,,,0.002952433,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,0,15,1,0,0,0,0,0,3,0,0,0,0,0,14,4,1,0,0,8,2,0,1,,,
Audit Board #3,B0051,15,,,0.002600710,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0058,2,,,0.000513521,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0060,123,,,0.001223143,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0065,69,,,0.001491198,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0065,181,,,0.001913381,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0065,182,,,0.001754577,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0068,54,,,0.002728917,N,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
